id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,80,377093,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1971-11-05,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4
5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,79,482830,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1971-11-08,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,79,187867,0,['John Lennon'],['4x1nvY2FN8jxqAFA0DA02H'],1971-09-09,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,4
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,79,125093,0,['Bill Withers'],['1ThoqLcyIYvZn7iWbj8fsj'],1971-05-01,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,4
3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,78,300400,0,['The Who'],['67ea9eGLXYMsO2eYQRui3w'],1971-08-14,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4
1fDsrQ23eTAVFElUMaf38X,American Pie,76,516893,0,['Don McLean'],['1gRNBaI4yn6wCCTvRhGWh8'],1971,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,4
14XWXWv5FoCbFzLksawpEe,Riders on the Storm,74,434720,0,['The Doors'],['22WZ7M8sxp5THdruNY3gXt'],1971-04-19,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,4
6rovOdp3HgK1DeAMYDzoA7,Maggie May,74,350267,0,['Rod Stewart'],['2y8Jo9CKhJvtfeKOsYzRdT'],1971-05-18,0.605,0.574,2,-10.536,1,0.0377,0.559,0.113,0.0684,0.543,129.449,4
1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,73,271333,0,['Janis Joplin'],['4NgfOZCL9Ml67xzM0xzIvC'],1971-01-11,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,4
3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,73,295387,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1971-11-08,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,4
3Um9toULmYFGCpvaIPFw7l,What's Going On,72,233000,0,['Marvin Gaye'],['3koiLjNrgRTNbOwViDipeA'],1971-05-21,0.283,0.716,1,-9.632,0,0.0986,0.447,0.0,0.399,0.828,201.96,4
52dm9op3rbfAkc1LGXgipW,Wild Horses - 2009 Mix,72,341773,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1971-04-23,0.432,0.389,7,-6.517,1,0.0255,0.687,0.0107,0.0788,0.158,139.506,4
3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars? - 2015 Remaster,72,235987,0,['David Bowie'],['0oSGxfWSnnOXhD2fKuz2Gy'],1971-12-17,0.442,0.384,10,-14.635,1,0.0414,0.639,7.7e-05,0.0539,0.216,123.281,4
0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,72,221427,0,['The Who'],['67ea9eGLXYMsO2eYQRui3w'],1971-08-14,0.394,0.622,4,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,4
0LoQuiekvzqx7n8flgEKzF,Get It On,71,262613,0,['T. Rex'],['3dBVyJ7JuOMt4GE9607Qin'],1971-09-24,0.728,0.878,11,-6.926,0,0.0564,0.176,0.856,0.61,0.911,126.59,4
0VNzEY1G4GLqcNx5qaaTl6,Vincent,71,243493,0,['Don McLean'],['1gRNBaI4yn6wCCTvRhGWh8'],1971,0.419,0.085,7,-19.387,1,0.0362,0.908,5.33e-06,0.34,0.458,91.509,3
1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads",71,190160,0,['John Denver'],['7EK1bQADBoqbYXnT4Cqv9w'],1971,0.462,0.395,9,-9.376,1,0.0264,0.758,0.0,0.121,0.625,82.259,4
61UuPxxYUvacEH6SHIK3sU,Brown Sugar - 2009 Mix,71,228667,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1971-04-23,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,4
3BqqF8suAIzW8655yJfcvh,Morning Has Broken,70,200000,0,['Yusuf / Cat Stevens'],['08F3Y3SctIlsOEmKd6dnH8'],1971-01-01,0.424,0.321,7,-13.162,1,0.0312,0.622,0.0196,0.0903,0.405,133.126,3
4OTw5splgMdlYklwHMHxLK,Long Cool Woman (In a Black Dress) - 1999 Remaster,70,199200,0,['The Hollies'],['6waa8mKu91GjzD4NlONlNJ'],1971-10-01,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,4
12q3V8ShACq2PSWINMc2rC,It's Too Late,70,233173,0,['Carole King'],['319yZVtYM9MBGqmSQnMyY6'],1971,0.45,0.442,9,-12.718,0,0.0353,0.493,0.00564,0.134,0.812,208.282,4
10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,69,172320,0,['Al Green'],['3dkbV4qihUeMsqN4vBGg93'],1971-08-14,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,4
7shVwhUdVbHpykOfbzvDc1,A Case of You,69,263480,0,['Joni Mitchell'],['5hW4L92KnC6dX9t7tYM4Ve'],1971-06-22,0.693,0.201,1,-9.903,1,0.0288,0.9,0.0,0.112,0.679,100.836,4
4PRGxHpCpF2yoOHYKQIEwD,Rock and Roll - Remaster,69,220561,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1971-11-08,0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613,4
1qhp5owrFGeZ5Jgin28nwR,You've Got a Friend,68,308973,0,['Carole King'],['319yZVtYM9MBGqmSQnMyY6'],1971,0.473,0.263,8,-10.684,1,0.0336,0.88,4.41e-05,0.123,0.461,169.094,4
51pQ7vY7WXzxskwloaeqyj,Stairway to Heaven - 1990 Remaster,68,478173,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1971-11-08,0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,4
70gbuMqwNBE2Y5rkQJE9By,Going to California - Remaster,68,212161,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1971-11-08,0.503,0.265,2,-15.913,1,0.0333,0.943,0.045,0.0867,0.522,78.044,4
6MrILERJLA3Jcq0E9poZsp,Without You,68,201000,0,['Harry Nilsson'],['3RTzAwFprBqiskp550eSJX'],1971,0.392,0.185,4,-15.472,1,0.0285,0.612,2.89e-06,0.0695,0.145,64.933,4
1ppuHX1oVMku5LTL0swNZP,Peace Train,68,251333,0,['Yusuf / Cat Stevens'],['08F3Y3SctIlsOEmKd6dnH8'],1971-01-01,0.61,0.582,0,-10.422,1,0.044,0.119,3.76e-05,0.12,0.781,82.492,4
0LrwgdLsFaWh9VXIjBRe8t,Changes - 2015 Remaster,68,217747,0,['David Bowie'],['0oSGxfWSnnOXhD2fKuz2Gy'],1971-12-17,0.547,0.308,0,-11.75,1,0.0377,0.505,0.0,0.109,0.41,114.719,4
6DmfWj5kOa1fX8AwN9byOn,L.A. Woman,67,471160,0,['The Doors'],['22WZ7M8sxp5THdruNY3gXt'],1971-04-19,0.354,0.731,2,-9.178,1,0.0382,0.0812,0.00124,0.115,0.697,170.633,4
1rHMg7t3LICgfTl2OsDn46,The Wind,67,102200,0,['Yusuf / Cat Stevens'],['08F3Y3SctIlsOEmKd6dnH8'],1971-01-01,0.758,0.187,2,-18.963,1,0.0437,0.927,0.1,0.122,0.78,115.75,4
3MFFDRC4wTN9JNGtzXsZlN,Love Her Madly,67,198467,0,['The Doors'],['22WZ7M8sxp5THdruNY3gXt'],1971-04-19,0.565,0.587,4,-7.393,0,0.0317,0.0573,0.00493,0.0416,0.966,147.462,4
3D9iV6cYkYJRAPFO6DRKIE,Jealous Guy - Remastered 2010,67,257787,0,['John Lennon'],['4x1nvY2FN8jxqAFA0DA02H'],1971-09-09,0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,4
1BWsOxeMx83OrKGCV4gxly,I Feel the Earth Move,67,178560,0,['Carole King'],['319yZVtYM9MBGqmSQnMyY6'],1971,0.711,0.576,7,-8.784,0,0.0305,0.648,0.00226,0.0528,0.644,120.117,4
0ju1jP0cSPJ8tmojYBEI89,Danny's Song,67,254305,0,['Loggins & Messina'],['7emRV8AluG3d4e5T0DZiK9'],1971,0.505,0.258,11,-12.193,0,0.0297,0.805,0.0,0.12,0.641,141.003,4
3IDc87lrpEHWFBASmgTgFV,Mercy Mercy Me (The Ecology),67,193573,0,['Marvin Gaye'],['3koiLjNrgRTNbOwViDipeA'],1971-05-21,0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,4
69l8nFPu0LWmnoJX7YSVYc,You've Got a Friend,66,268707,0,['James Taylor'],['0vn7UBvSQECKJm2817Yf1P'],1971,0.695,0.282,9,-15.359,1,0.0295,0.681,0.0267,0.0767,0.445,91.681,4
39Bd345OWEhRNyfayhp9gv,Just My Imagination (Running Away With Me),66,228160,0,['The Temptations'],['3RwQ26hR2tJtA8F9p2n7jG'],1971-01-01,0.425,0.242,0,-15.424,1,0.0267,0.88,0.0118,0.195,0.477,92.472,4
0YveezON7jpiaHA8fnUHxN,Roundabout - 2003 Remaster,66,510573,0,['Yes'],['7AC976RDJzL2asmZuz7qil'],1971-11-26,0.41,0.761,4,-9.453,0,0.0687,0.0682,0.0077,0.0758,0.391,132.889,4
1hIQPCM3oWXrpnXmgTDaKG,Can't You Hear Me Knocking - 2009 Mix,66,436000,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1971-04-23,0.545,0.757,0,-5.228,1,0.0396,0.408,0.045,0.16,0.714,152.217,4
2liDEMyPVzDDLXKUnyiznA,Can You Get to That,66,171560,0,['Funkadelic'],['450o9jw6AtiQlQkHCdH6Ru'],1971-07-12,0.689,0.83,8,-8.774,1,0.0954,0.539,0.0,0.0882,0.815,140.732,4
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,281613,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1972-05-19,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,4
4yugZvBYaoREkJKtbG08Qr,Take It Easy - 2013 Remaster,79,211578,0,['Eagles'],['0ECwFtbIWEVNwjlrfc6xoL'],1972,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,4
54eZmuggBFJbV7k248bTTt,A Horse with No Name,78,252240,0,"['America', 'George Martin']","['35U9lQaRWSQISxQAB94Meo', '0tcbedGX7n5UHrMhVsGmIU']",1972,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,4
7Ar4G7Ci11gpt6sfH9Cgz5,Listen to the Music,77,227267,0,['The Doobie Brothers'],['39T6qqI0jDtSWWioX8eGJz'],1972,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,4
2DnJjbjNTV9Nd5NOa1KGba,You're so Vain,77,258411,0,['Carly Simon'],['4FtSnMlCVxCswABUmdhwpm'],1972,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,4
5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,76,254173,0,['Lou Reed'],['42TFhl7WlMRXiNqzSrnzPL'],1972-12-01,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,4
63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,76,199396,0,['Al Green'],['3dkbV4qihUeMsqN4vBGg93'],1972,0.756,0.397,7,-10.701,0,0.0522,0.57,0.0115,0.0542,0.507,101.985,4
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),76,186827,0,['Looking Glass'],['5jJN1nmKXzRjodMl1THQeI'],1972,0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276,4
5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,75,340742,0,['Deep Purple'],['568ZhdwyaiCyOGJRtNYhWf'],1972-03-25,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,4
1Q1b8eVkUPGlpSArl8JAVw,Heart of Gold - 2009 Remaster,75,187013,0,['Neil Young'],['6v8FB84lnmJs434UJf2Mrm'],1972-02-14,0.541,0.459,4,-10.433,0,0.0297,0.189,0.0274,0.099,0.803,171.165,4
0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,74,254293,0,['David Bowie'],['0oSGxfWSnnOXhD2fKuz2Gy'],1972-06-06,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,4
6vxHp3CDNo0afgKGp2yi1E,Me and Julio Down by the Schoolyard,73,164813,0,['Paul Simon'],['2CvCyf1gEVhI0mX6aFXmVI'],1972-01-14,0.626,0.816,9,-10.593,1,0.13,0.237,1.8e-06,0.104,0.798,105.33,4
